,edad,Masc.,Fem.,Total
0,4,0.0001,0.0,0.0001
1,9,0.0004,0.0004,0.0004
2,14,0.0019,0.0014,0.0017
3,18,0.0176,0.0145,0.0161
4,24,0.0701,0.07890000000000001,0.07440000000000001
5,59,0.18769999999999998,0.21769999999999998,0.2027
6,64,0.7352000000000001,0.7402000000000001,0.7377999999999999
7,150,0.49010000000000004,0.5524,0.5237
